dataset,subject,session,task,stage,n_trials,mu_ERD_C3,mu_ERD_Cz,mu_ERD_C4,beta_ERD_C3,beta_ERD_Cz,beta_ERD_C4,LI_mu,LI_beta
PhysionetMI,1,0,left_hand,early,7,-4.416572645605852,-4.871087622594271,-5.355825142922122,1.0214402303544972,1.0795353136902894,0.7417427701655014,0.09611279827545283,-0.15863212162691412
PhysionetMI,1,0,left_hand,mid,8,-2.439413155715369,-3.262270049676424,-4.124855633884711,-0.7685174080448076,0.0757510453452438,-1.4903653231066563,0.25676012549023386,0.3195597120236017
PhysionetMI,1,0,left_hand,late,8,0.7558554021595696,1.8900071404488303,1.940821528593389,0.938077135312388,1.0728083158568615,1.1498533904579156,0.43941716299807426,0.10142878440239125
PhysionetMI,1,0,right_hand,early,7,-2.5640380130357627,-1.791264922489194,-0.6681113193006116,-2.937218567854573,-1.8566245169075626,-1.1990524361627186,0.5865838792679395,0.4202253986752044
PhysionetMI,1,0,right_hand,mid,7,-3.859020487784685,-3.646561968367088,-1.9513400770418134,-0.4717019474544704,-0.12722801044770973,0.12764373791029246,0.3283239292052156,0.5740563717160716
PhysionetMI,1,0,right_hand,late,8,0.1745957175757309,0.7161828409387943,0.8629100819383457,-0.41602350712623226,-0.40461360430266197,0.4029430615769881,-0.6634318234028107,0.01597189195397337
PhysionetMI,2,0,left_hand,early,7,-2.533973843874515,1.0315297386630442,-2.539338020900187,-1.510881178561379,0.7008608493423927,-0.9245109456403711,0.0010573324031026854,-0.24077035771527053
PhysionetMI,2,0,left_hand,mid,8,-3.5188555392309717,-1.5206352173848472,-0.7073767191430614,-1.1921520683233728,-1.5440123733081745,-1.9819834050288714,-0.6652447495087684,0.24883353068460803
PhysionetMI,2,0,left_hand,late,8,-1.3535487373276998,-1.0079649647622795,0.29498524713594443,-0.7668572571239834,1.7675344485056035,1.2939277140504362,-0.6421241540471866,0.2557619859902612
PhysionetMI,2,0,right_hand,early,7,1.6459752195933197,0.8756366573866623,0.6751310515497292,-0.37226502436024905,-0.9304820559605101,-0.4372396197130177,0.41826786653998826,-0.08026463569848025
PhysionetMI,2,0,right_hand,mid,7,1.0690433161270898,2.179871245563082,0.5845336562041638,-0.0426216584284964,0.9084855642177311,2.4632336187690327,0.29300701934658197,-0.9659823463738393
PhysionetMI,2,0,right_hand,late,8,-1.705744174562481,0.5271737299299954,0.8359840136544228,-1.075089792839422,0.08450768833706371,-0.17996066830390778,0.34219243620940454,0.7132216211610063
